[0.17033376 0.85589995 0.76794379 0.78145874]
[0.31701048 0.84367868 0.66621608 0.52121179]
[0.9086331  0.14188162 0.24330213 0.58414513]
[0.82662024 0.79928043 0.83790571 0.76814666]
[0.44318545 0.06113297 0.24992729 0.49062844]
[0.13494103 0.94814748 0.37812575 0.51756335]
[0.80053196 0.64768907 0.40798139 0.2172519 ]
[0.79414279 0.39919462 0.09568437 0.03489521]
[0.25188706 0.58790117 0.26513819 0.35505094]
[0.3444597  0.37138801 0.35013307 0.77829195]
[0.90524828 0.77817875 0.51282662 0.85140477]
[0.19901228 0.66519092 0.10634891 0.52967721]
[0.6355924  0.62706878 0.03085754 0.27439183]
[0.23732925 0.86948902 0.20916147 0.79618983]
[0.86194496 0.88414883 0.96059609 0.59668618]
[0.66975575 0.799297   0.25200031 0.50822728]
[0.47271093 0.00804667 0.00770484 0.25002463]
[0.09064038 0.95105922 0.00343333 0.90420306]
[0.34608022 0.07088432 0.23743425 0.1065116 ]
[0.63041439 0.38189871 0.57472102 0.15382506]
